,일자,법인,품목,품종,단위,등급,경락,출하지,친환경 구분
0,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"39,000",경기 광주시,일반
1,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"36,900",경기 광주시,일반
2,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"36,500",경기 여주시,일반
3,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"33,000",경기 여주시,일반
4,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"30,000",경기 여주시,일반
5,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"26,000",경기 여주시,일반
6,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"26,000",경기 여주시,일반
7,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"24,100",경기 여주시,일반
8,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"41,500",경기 용인시,일반
9,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"39,500",경기 용인시,일반
10,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"36,500",경기 용인시,일반
11,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"38,900",경기 이천시,일반
12,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"38,900",경기 이천시,일반
13,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"40,000",경기 이천시,일반
14,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"38,800",경기 이천시,일반
15,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"28,900",경기 하남시,일반
16,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"26,500",경기 하남시,일반
17,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"15,900",경남 밀양시,일반
18,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"39,900",대구 동구,일반
19,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"43,800",충남 논산시,일반
20,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"32,900",충남 논산시,일반
21,2018.10.11,동화청과,기타양채,바실,1kg,특(1등),"28,800",충남 논산시,일반
22,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"23,300",경기 구리시,일반
23,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"18,500",경기 구리시,일반
24,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"34,000",경기 성남시,일반
25,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),400,경기 성남시,일반
26,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"12,500",경기 성남시,일반
27,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"31,500",경기 안성시,일반
28,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"38,900",경기 안성시,일반
29,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"38,900",경기 안성시,일반
30,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"36,900",경기 안성시,일반
31,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"35,800",경기 양평군,일반
32,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"34,500",경기 양평군,일반
33,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"32,200",경기 양평군,일반
34,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"30,500",경기 양평군,일반
35,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"38,000",경기 여주시,일반
36,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"37,000",경기 여주시,일반
37,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"36,900",경기 여주시,일반
38,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"40,000",경기 여주시,일반
39,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"39,500",경기 여주시,일반
40,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"39,500",경기 여주시,일반
41,2018.10.12,동화청과,기타양채,바실,2kg,특(1등),"25,500",경기 여주시,일반
42,2018.10.12,동화청과,기타양채,바실,2kg,특(1등),"22,500",경기 여주시,일반
43,2018.10.12,동화청과,기타양채,바실,2kg,특(1등),"20,500",경기 여주시,일반
44,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"39,600",경기 용인시,일반
45,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"39,600",경기 용인시,일반
46,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"38,500",경기 용인시,일반
47,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"38,900",경기 이천시,일반
48,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"38,800",경기 이천시,일반
49,2018.10.12,동화청과,기타양채,바실,1kg,특(1등),"38,800",경기 이천시,일반
